Year,Month,Day,Hour,Minute,Second,Millisecond,TimestampSecond,usvEKFx[0][0],usvEKFx[1][0],usvEKFx[2][0],usvEKFx[3][0],usvEKFx[4][0],usvEKFx[5][0]
2023,12,07,14,26,37,276,1701930397.276418,-30.916992127890868,-16.194893717729943,-5.439684868742658,0.0,0.0,0.0
2023,12,07,14,26,37,382,1701930397.382682,-34.64128770808329,-10.021282577362758,-3.919381901767812,0.0,0.0,0.0
2023,12,07,14,26,37,475,1701930397.475982,-33.63412834520271,-9.29644980041158,-3.3217584588327833,0.0009467424722431921,0.0011722012110499472,0.0010273501666038369
2023,12,07,14,26,37,580,1701930397.580681,-33.103770923790776,-9.393116934917433,-3.033086262190712,0.0027335195598378378,-0.0005979488333692686,0.002386770892105493
2023,12,07,14,26,37,677,1701930397.677313,-33.103770923790776,-9.393116934917433,-3.033086262190712,0.0027335195598378378,-0.0005979488333692686,0.002386770892105493
2023,12,07,14,26,37,777,1701930397.777065,-33.103770923790776,-9.393116934917433,-3.033086262190712,0.0027335195598378378,-0.0005979488333692686,0.002386770892105493
2023,12,07,14,26,37,884,1701930397.884129,-32.54843840926077,-10.199288087013093,-2.8912561098618377,0.014336856785102754,-0.026627606159534148,0.004886079797388159
2023,12,07,14,26,37,980,1701930397.980642,-32.08445765818266,-10.766218567366264,-2.753980315142606,0.026377605946695366,-0.0527929626871452,0.008104406619620192
2023,12,07,14,26,38,074,1701930398.074945,-31.829744349244297,-11.23988314876394,-2.6706138744835317,0.03638911473116106,-0.07924456803956545,0.011393797147675811
2023,12,07,14,26,38,184,1701930398.184905,-31.61125919948178,-11.607797870067326,-2.6002822363039457,0.0465245810186786,-0.10539194502693966,0.01463495007545954
2023,12,07,14,26,38,276,1701930398.276632,-31.437531722844817,-11.883965932125705,-2.532461096097703,0.05644070556003849,-0.13141605855623584,0.018873609306129364
2023,12,07,14,26,38,385,1701930398.385608,-31.282328538005473,-12.122467594115545,-2.4830188034499163,0.06705893453438413,-0.15840467564920496,0.02221829370562968
