Year,Month,Day,Hour,Minute,Second,Millisecond,rosTime,podYaw,podYawDelayed,podPitch,podPitchDelayed,podHfov,podHfovDelayed,podVfov,podVfovDelayed,pixelX,pixelY,cameraYaw,cameraPitch,uavQuat[0],uavQuat[1],uavQuat[2],uavQuat[3],uavEuler[0],uavEuler[1],uavEuler[2],selfPos[0],selfPos[1],selfPos[2],targetPosRel[0],targetPosRel[1],targetPosRel[2],targetPosAbs[0],targetPosAbs[1],targetPosAbs[2],targetId
2023,09,06,11,27,52,325,0.4411196708679199,-0.07999999821186066,-0.07999999821186066,8.4399995803833,8.4399995803833,11.463153839111328,11.463153839111328,6.462758007729401,6.462758007729401,-0.003125011920928955,0.0,0.0179712315537937,0.0,0,0,0,1,0.0,0.0,0.0,-2.0,0.0,0.658,4.43454040978498,-0.004785634346448936,-0.658,2.4345404097849803,-0.004785634346448936,0.0,1
2023,09,06,11,27,52,364,0.4804542064666748,-0.07999999821186066,-0.07999999821186066,8.4399995803833,8.4399995803833,11.463153839111328,11.463153839111328,6.462758007729401,6.462758007729401,-0.004687488079071045,0.0,0.02695667483934184,0.0,0,0,0,1,0.0,0.0,0.0,-2.0,0.0,0.658,4.434541391447048,-0.004082571119220658,-0.658,2.4345413914470484,-0.004082571119220658,0.0,1
2023,09,06,11,27,52,401,0.5173227787017822,-0.07999999821186066,-0.07999999821186066,8.4399995803833,8.4399995803833,11.463153839111328,11.463153839111328,6.462758007729401,6.462758007729401,-0.00390625,0.0,0.02246395333468885,0.0,0,0,0,1,0.0,0.0,0.0,-2.0,0.0,0.658,4.434540900616014,-0.004434102732834797,-0.658,2.434540900616014,-0.004434102732834797,0.0,1
2023,09,06,11,27,52,447,0.5635561943054199,-0.07999999821186066,-0.07999999821186066,8.4399995803833,8.4399995803833,11.463153839111328,11.463153839111328,6.462758007729401,6.462758007729401,-0.004687488079071045,0.0,0.02695667483934184,0.0,0,0,0,1,0.0,0.0,0.0,-2.0,0.0,0.658,4.434541391447048,-0.004082571119220658,-0.658,2.4345413914470484,-0.004082571119220658,0.0,1
2023,09,06,11,27,52,481,0.5973868370056152,-0.07999999821186066,-0.07999999821186066,8.4399995803833,8.4399995803833,11.463153839111328,11.463153839111328,6.462758007729401,6.462758007729401,-0.00390625,0.0,0.02246395333468885,0.0,0,0,0,1,0.0,0.0,0.0,-2.0,0.0,0.658,4.434540900616014,-0.004434102732834797,-0.658,2.434540900616014,-0.004434102732834797,0.0,1
2023,09,06,11,27,52,526,0.6423993110656738,-0.07999999821186066,-0.07999999821186066,8.4399995803833,8.4399995803833,11.463153839111328,11.463153839111328,6.462758007729401,6.462758007729401,-0.003125011920928955,0.0,0.0179712315537937,0.0,0,0,0,1,0.0,0.0,0.0,-2.0,0.0,0.658,4.43454040978498,-0.004785634346448936,-0.658,2.4345404097849803,-0.004785634346448936,0.0,1
2023,09,06,11,27,52,564,0.6803004741668701,-0.07999999821186066,-0.07999999821186066,8.4399995803833,8.4399995803833,11.463153839111328,11.463153839111328,6.462758007729401,6.462758007729401,-0.003125011920928955,-0.0027777552604675293,0.0179712315537937,-0.008985508881420351,0,0,0,1,0.0,0.0,0.0,-2.0,0.0,0.658,4.429755311359739,-0.004780437712767672,-0.658,2.429755311359739,-0.004780437712767672,0.0,1
2023,09,06,11,27,52,607,0.7239668369293213,-0.07999999821186066,-0.07999999821186066,8.4399995803833,8.4399995803833,11.463153839111328,11.463153839111328,6.462758007729401,6.462758007729401,-0.00390625,-0.0027777552604675293,0.02246395333468885,-0.008985508881420351,0,0,0,1,0.0,0.0,0.0,-2.0,0.0,0.658,4.429755801672552,-0.004429277248429582,-0.658,2.4297558016725516,-0.004429277248429582,0.0,1
2023,09,06,11,27,52,647,0.7628521919250488,-0.07999999821186066,-0.07999999821186066,8.4399995803833,8.4399995803833,11.463153839111328,11.463153839111328,6.462758007729401,6.462758007729401,-0.003125011920928955,-0.0027777552604675293,0.0179712315537937,-0.008985508881420351,0,0,0,1,0.0,0.0,0.0,-2.0,0.0,0.658,4.429755311359739,-0.004780437712767672,-0.658,2.429755311359739,-0.004780437712767672,0.0,1
2023,09,06,11,27,52,687,0.803168773651123,-0.07999999821186066,-0.07999999821186066,8.4399995803833,8.4399995803833,11.463153839111328,11.463153839111328,6.462758007729401,6.462758007729401,-0.003125011920928955,-0.0027777552604675293,0.0179712315537937,-0.008985508881420351,0,0,0,1,0.0,0.0,0.0,-2.0,0.0,0.658,4.429755311359739,-0.004780437712767672,-0.658,2.429755311359739,-0.004780437712767672,0.0,1
2023,09,06,11,27,52,730,0.8461277484893799,-0.07999999821186066,-0.07999999821186066,8.4399995803833,8.4399995803833,11.463153839111328,11.463153839111328,6.462758007729401,6.462758007729401,-0.004687488079071045,0.0,0.02695667483934184,0.0,0,0,0,1,0.0,0.0,0.0,-2.0,0.0,0.658,4.434541391447048,-0.004082571119220658,-0.658,2.4345413914470484,-0.004082571119220658,0.0,1
2023,09,06,11,27,52,768,0.8841099739074707,-0.07999999821186066,-0.07999999821186066,8.4399995803833,8.4399995803833,11.463153839111328,11.463153839111328,6.462758007729401,6.462758007729401,-0.004687488079071045,0.0,0.02695667483934184,0.0,0,0,0,1,0.0,0.0,0.0,-2.0,0.0,0.658,4.434541391447048,-0.004082571119220658,-0.658,2.4345413914470484,-0.004082571119220658,0.0,1
