Year,Month,Day,Hour,Minute,Second,Millisecond,rosTime,podYaw,podYawDelayed,podPitch,podPitchDelayed,podHfov,podHfovDelayed,podVfov,podVfovDelayed,selfPos[0],selfPos[1],selfPos[2],uavQuatDelayed[0],uavQuatDelayed[1],uavQuatDelayed[2],uavQuatDelayed[3],uavQuat[0],uavQuat[1],uavQuat[2],uavQuat[3],target0[0],target0[1],target0[2],targetCnt0,targetCheck0,targetReal0,target1[0],target1[1],target1[2],targetCnt1,targetCheck1,targetReal1,target2[0],target2[1],target2[2],targetCnt2,targetCheck2,targetReal2,target3[0],target3[1],target3[2],targetCnt3,targetCheck3,targetReal3,target4[0],target4[1],target4[2],targetCnt4,targetCheck4,targetReal4,target5[0],target5[1],target5[2],targetCnt5,targetCheck5,targetReal5,target6[0],target6[1],target6[2],targetCnt6,targetCheck6,targetReal6,target7[0],target7[1],target7[2],targetCnt7,targetCheck7,targetReal7,target8[0],target8[1],target8[2],targetCnt8,targetCheck8,targetReal8,target9[0],target9[1],target9[2],targetCnt9,targetCheck9,targetReal9
2023,09,21,11,33,13,926,1.0373926162719727,0.029999999329447746,0.029999999329447746,0.44999998807907104,0.44999998807907104,13.735688209533691,13.735688209533691,7.751696746007191,7.751696746007191,0.0,0.0,8.629080000000002,-0.004095463703771067,-0.011160972898248932,0.9882156652147673,0.15260556636358444,-0.004075686590533065,-0.011162841291657042,0.9882244654607675,0.1525489613792684,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False
2023,09,21,11,33,13,978,1.0912518501281738,0.029999999329447746,0.029999999329447746,0.44999998807907104,0.44999998807907104,13.735688209533691,13.735688209533691,7.751696746007191,7.751696746007191,0.0,0.0,8.62924000000001,-0.004110207929923904,-0.011167393109431859,0.9882165435159069,0.15259901258981307,-0.004054291822110834,-0.011168394210450489,0.9882276327928146,0.15252860542629737,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False
2023,09,21,11,33,14,030,1.1433117389678955,0.029999999329447746,0.029999999329447746,0.44999998807907104,0.4469291941002384,13.735688209533691,13.735688209533691,7.751696746007191,7.751696746007191,0.0,0.0,8.630260000000007,-0.004105000621303122,-0.011168320183339587,0.988218239667318,0.15258810039779877,-0.004054165238927779,-0.011171994738849606,0.9882270079689015,0.15253239327632465,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False
2023,09,21,11,33,14,083,1.195556402206421,0.029999999329447746,0.029999999329447746,0.44999998807907104,0.4366181662528207,13.735688209533691,13.735688209533691,7.751696746007191,7.751696746007191,0.0,0.0,8.627300000000005,-0.0041046544580336875,-0.011162789176165078,0.9882163907615438,0.15260048813754315,-0.004043892513989206,-0.011175162671842048,0.9882266030023481,0.152535057580324,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False
2023,09,21,11,33,14,134,1.2474675178527832,0.029999999329447746,0.029999999329447746,0.44999998807907104,0.44999998807907104,13.735688209533691,13.735688209533691,7.751696746007191,7.751696746007191,0.0,0.0,8.626380000000012,-0.004099150169067272,-0.01116997146391668,0.9882162177948219,0.15260123063948006,-0.004044800153968647,-0.011170326935048368,0.988226904035478,0.15253343741072894,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False
2023,09,21,11,33,14,187,1.2995731830596924,0.029999999329447746,0.029999999329447746,0.44999998807907104,0.44999998807907104,13.735688209533691,13.735688209533691,7.751696746007191,7.751696746007191,0.0,0.0,8.626180000000005,-0.00410329497784011,-0.011154747923406011,0.9882183270635371,0.1525885730480309,-0.004046492352614771,-0.011178453892615708,0.9882265836282954,0.1525348729915838,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False
2023,09,21,11,33,14,240,1.3529138565063477,0.029999999329447746,0.029999999329447746,0.44999998807907104,0.44999998807907104,13.735688209533691,13.735688209533691,7.751696746007191,7.751696746007191,0.0,0.0,8.626100000000008,-0.004096379022129174,-0.01115870790280949,0.9882206453803067,0.15257345431292027,-0.004043917460033952,-0.011183510242132402,0.9882281891913313,0.15252416830739604,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False
2023,09,21,11,33,14,292,1.405043125152588,0.029999999329447746,0.029999999329447746,0.44999998807907104,0.44999998807907104,13.735688209533691,13.735688209533691,7.751696746007191,7.751696746007191,0.0,0.0,8.6263,-0.004090495260469925,-0.011155681033945816,0.9882216148770318,0.15256755395241983,-0.004055610004705924,-0.011177311604306357,0.9882261031830812,0.15253782717861195,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False
2023,09,21,11,33,14,346,1.457831621170044,0.029999999329447746,0.029999999329447746,0.44999998807907104,0.44999998807907104,13.735688209533691,13.735688209533691,7.751696746007191,7.751696746007191,0.0,0.0,8.628800000000012,-0.004073149279068239,-0.011164613215530814,0.9882243908032371,0.15254938311336716,-0.0040682976194042165,-0.01117227137010158,0.9882231342236125,0.15255709191044714,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False
2023,09,21,11,33,14,400,1.512148141860962,0.029999999329447746,0.029999999329447746,0.44999998807907104,0.44999998807907104,13.735688209533691,13.735688209533691,7.751696746007191,7.751696746007191,0.0,0.0,8.629140000000007,-0.004052220654175875,-0.011173444934394209,0.9882275662977823,0.1525287213780737,-0.004062280863747765,-0.011174912644419492,0.9882231893675965,0.15255670158242515,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False,-1,-1,-1,0,False,False
