Year,Month,Day,Hour,Minute,Second,Millisecond,rosTime,podYaw,podYawDelayed,podPitch,podPitchDelayed,podHfov,podHfovDelayed,podVfov,podVfovDelayed,pixelX,pixelY,cameraYaw,cameraPitch,cameraPlusPodYPR[0],cameraPlusPodYPR[1],cameraPlusPodYPR[2],uavQuat[0],uavQuat[1],uavQuat[2],uavQuat[3],uavEuler[0],uavEuler[1],uavEuler[2],selfPos[0],selfPos[1],selfPos[2],targetPosRel[0],targetPosRel[1],targetPosRel[2],targetPosAbs[0],targetPosAbs[1],targetPosAbs[2],targetId
2023,08,24,18,29,22,084,0.6900997161865234,-0.029999999329447746,-0.029999999329447746,5.430000305175781,5.430000305175781,22.701370239257812,22.701370239257812,12.88466266754667,12.88466266754667,-0.07343751192092896,-0.0027777552604675293,-0.8335660737834587,-0.017895219752063676,0.863700410158349,5.412104341329718,-0.002842229710489262,0,0,0,1,0.0,0.0,0.0,-2.0,0.0,0.8495999999999998,8.967747966519601,0.13575704133654326,-0.8496199999999999,6.967747966519601,0.13575704133654326,0.0,1
2023,08,24,18,29,22,149,0.7593417167663574,-0.029999999329447746,-0.029999999329447746,5.430000305175781,5.430000305175781,22.701370239257812,22.701370239257812,12.88466266754667,12.88466266754667,-0.07265627384185791,0.011111140251159668,-0.8246984863444595,0.07158164699399605,0.854837318622385,5.501581195698543,-0.0028895072369964957,0,0,0,1,0.0,0.0,0.0,-2.0,0.0,0.8532199999999998,8.854035969341092,0.13267795564900148,-0.8527999999999998,6.854035969341092,0.13267795564900148,0.0,3
2023,08,24,18,29,22,235,0.8446924686431885,-0.029999999329447746,-0.029999999329447746,5.430000305175781,5.430000305175781,22.701370239257812,22.701370239257812,12.88466266754667,12.88466266754667,-0.07343751192092896,-0.0027777552604675293,-0.8335660737834587,-0.017895219752063676,0.863700410158349,5.412104341329718,-0.002842229710489262,0,0,0,1,0.0,0.0,0.0,-2.0,0.0,0.8551400000000001,9.026011624125577,0.13663905784766323,-0.8551400000000002,7.026011624125577,0.13663905784766323,-1.1102230246251565e-16,1
2023,08,24,18,29,22,331,0.9370400905609131,-0.029999999329447746,-0.029999999329447746,5.430000305175781,5.430000305175781,22.701370239257812,22.701370239257812,12.88466266754667,12.88466266754667,-0.07265627384185791,0.008333325386047363,-0.8246984863444595,0.0536860432490617,0.8548364134425784,5.483685594429391,-0.002880050479614993,0,0,0,1,0.0,0.0,0.0,-2.0,0.0,0.8505799999999999,8.859984127054544,0.13276324076023627,-0.8505799999999999,6.859984127054544,0.13276324076023627,0.0,3
2023,08,24,18,29,22,403,1.0121512413024902,-0.029999999329447746,-0.029999999329447746,5.430000305175781,5.430000305175781,22.701370239257812,22.701370239257812,12.88466266754667,12.88466266754667,-0.07421875,-0.0027777552604675293,-0.8424336612224579,-0.017895219752063676,0.8725679975973565,5.412104341329718,-0.002842229710489262,0,0,0,1,0.0,0.0,0.0,-2.0,0.0,0.8503999999999999,8.975980143857061,0.13727740400584648,-0.8503999999999999,6.975980143857061,0.13727740400584648,0.0,1
2023,08,24,18,29,22,462,1.072164535522461,-0.029999999329447746,-0.029999999329447746,5.430000305175781,5.430000305175781,22.701370239257812,22.701370239257812,12.88466266754667,12.88466266754667,-0.07343751192092896,0.005555510520935059,-0.8335660737834587,0.03579043950412735,0.8637030986961316,5.4657899931600875,-0.002870594289237335,0,0,0,1,0.0,0.0,0.0,-2.0,0.0,0.8506799999999999,8.891259733527498,0.1346107280128559,-0.8507799999999998,6.891259733527498,0.1346107280128559,0.0,3
2023,08,24,18,29,22,561,1.1562609672546387,-0.029999999329447746,-0.029999999329447746,5.430000305175781,5.430000305175781,22.701370239257812,22.701370239257812,12.88466266754667,12.88466266754667,-0.07499998807907104,0.005555510520935059,-0.8513012486614571,0.03579043950412735,0.8814382735740958,5.4657899931600875,-0.002870594289237335,0,0,0,1,0.0,0.0,0.0,-2.0,0.0,0.85212,8.9008729422803,0.13752464629726507,-0.8517,6.9008729422803,0.13752464629726507,0.0,3
2023,08,24,18,29,22,642,1.2516353130340576,-0.029999999329447746,-0.029999999329447746,5.430000305175781,5.430000305175781,22.701370239257812,22.701370239257812,12.88466266754667,12.88466266754667,-0.07499998807907104,-0.011111140251159668,-0.8513012486614571,-0.07158164699399605,0.8814329233921812,5.358417921512385,-0.002813869761560139,0,0,0,1,0.0,0.0,0.0,-2.0,0.0,0.85202,9.093951367382672,0.14048374254631577,-0.8529799999999998,7.093951367382672,0.14048374254631577,0.0,2
2023,08,24,18,29,22,743,1.3486027717590332,-0.029999999329447746,-0.029999999329447746,5.430000305175781,5.430000305175781,22.701370239257812,22.701370239257812,12.88466266754667,12.88466266754667,-0.07421875,0.008333325386047363,-0.8424336612224579,0.0536860432490617,0.8725715883205933,5.483685594429391,-0.002880050479614993,0,0,0,1,0.0,0.0,0.0,-2.0,0.0,0.8535600000000001,8.894565136744543,0.13604790851080345,-0.8538999999999999,6.894565136744543,0.13604790851080345,0.0,3
2023,08,24,18,29,22,830,1.4375026226043701,-0.029999999329447746,-0.029999999329447746,5.430000305175781,5.430000305175781,22.701370239257812,22.701370239257812,12.88466266754667,12.88466266754667,-0.07499998807907104,-0.011111140251159668,-0.8513012486614571,-0.07158164699399605,0.8814329233921812,5.358417921512385,-0.002813869761560139,0,0,0,1,0.0,0.0,0.0,-2.0,0.0,0.8540599999999998,9.11463446153813,0.1408032558532395,-0.8549199999999996,7.114634461538129,0.1408032558532395,0.0,2
