Year,Month,Day,Hour,Minute,Second,Millisecond,TimestampSecond,usvEKFx[0][0],usvEKFx[1][0],usvEKFx[2][0],usvEKFx[3][0],usvEKFx[4][0],usvEKFx[5][0]
2024,01,08,15,13,16,170,1704697996.170136,151.92764060366346,-39.61544609019832,2.2252014684612247,0.0,0.0,0.0
2024,01,08,15,13,16,265,1704697996.265225,153.20269179451276,-34.46019513051628,0.7938257151914843,0.0,0.0,0.0
2024,01,08,15,13,16,366,1704697996.366892,153.419997235869,-30.994434393841956,0.08331618970075472,-7.51920395241973e-05,0.0019842192647652065,-0.0004489140766461026
2024,01,08,15,13,16,463,1704697996.463843,153.62709533109157,-28.557766926232645,-0.3530619617569465,-0.0001772968249289831,0.005402165264315715,-0.0011536464183256614
2024,01,08,15,13,16,572,1704697996.57258,147.46650930880278,-25.8573096657144,-0.30321291913229675,-0.02699029813956984,0.014483562753589176,-0.00026069142871121124
2024,01,08,15,13,16,671,1704697996.671328,143.37801271864225,-23.883768466948755,-0.27482553129815585,-0.05818543654337319,0.025246400724133432,0.0008598432816184825
2024,01,08,15,13,16,771,1704697996.771146,140.30458874922954,-22.4822695213371,-0.19132793715502677,-0.09073708065204081,0.03582302732542324,0.002471313801741765
2024,01,08,15,13,16,863,1704697996.863339,137.98558412167088,-21.487347790943065,-0.0975342517492467,-0.1234436491465789,0.04585650270762877,0.004382704409222331
2024,01,08,15,13,16,971,1704697996.97191,136.19726080784307,-20.74150167395279,-0.011536768768404884,-0.15404890165595853,0.05496242384432385,0.006328841875561172
2024,01,08,15,13,17,063,1704697997.063308,134.7420102152184,-20.261100017258126,0.03534922277330274,-0.18714942306012064,0.06347601867351932,0.008175165307939106
2024,01,08,15,13,17,171,1704697997.171675,136.71102347029642,-20.356496025334433,-0.13994487281495788,-0.13566245637416108,0.05623624487241184,0.0035856684888677832
2024,01,08,15,13,17,265,1704697997.265318,138.32408032905224,-20.585697743666664,-0.304166844788237,-0.08271953050207059,0.0468524252451128,-0.001530680387861724
2024,01,08,15,13,17,368,1704697997.368752,136.93962729455163,-20.686316195557566,-0.31461379896609104,-0.1335838737811627,0.05133620882221341,0.00021623697478791734
2024,01,08,15,13,17,465,1704697997.465906,135.731048840272,-20.89203211728381,-0.35153192905754005,-0.18509796302809595,0.05373952804768301,0.001305529831726528
2024,01,08,15,13,17,576,1704697997.576765,134.101359599623,-21.106216702894034,-0.369227784753715,-0.2651608747173557,0.05877027790751055,0.003980184852498965
2024,01,08,15,13,17,663,1704697997.663507,132.6705836260994,-21.317082583152093,-0.38837838016319415,-0.3511885381344882,0.06356734605568212,0.006786819430505485
2024,01,08,15,13,17,767,1704697997.768051,131.40384136770464,-21.537981239027882,-0.3887296678950017,-0.43324912785274255,0.0672225825788116,0.010104225126750497
2024,01,08,15,13,17,866,1704697997.866873,130.27862120265874,-21.73994159920374,-0.3654564580852199,-0.5159280671672551,0.07072046079377875,0.014486181001268809
2024,01,08,15,13,17,974,1704697997.974667,129.2732071701215,-21.921019405630755,-0.3246244646508456,-0.5986666695748827,0.07418823015806539,0.01985420756108781
2024,01,08,15,13,18,068,1704697998.068591,128.37090376097595,-22.072432434935326,-0.27806914993690857,-0.6804534211421762,0.07800978919858582,0.025701241951791774
2024,01,08,15,13,18,169,1704697998.169083,127.56612329782898,-22.194985051902037,-0.23775106820627775,-0.7625815421176335,0.08233214417175773,0.03152769917340931
2024,01,08,15,13,18,273,1704697998.273718,126.83649149581652,-22.29137482526324,-0.20510461232794347,-0.8437367308424903,0.0872349826232188,0.037053370395792685
2024,01,08,15,13,18,371,1704697998.372058,126.16698095138723,-22.366884874385406,-0.18147764098285188,-0.9274070280168438,0.0928953507378759,0.042321579399610745
2024,01,08,15,13,18,471,1704697998.471576,125.5525299256417,-22.438516691440984,-0.16207612308816213,-1.0090475697172172,0.09827528557442525,0.0473004778846496
2024,01,08,15,13,18,573,1704697998.573723,125.5525299256417,-22.438516691440984,-0.16207612308816213,-1.0090475697172172,0.09827528557442525,0.0473004778846496
2024,01,08,15,13,18,668,1704697998.668321,125.5525299256417,-22.438516691440984,-0.16207612308816213,-1.0090475697172172,0.09827528557442525,0.0473004778846496
2024,01,08,15,13,18,772,1704697998.773031,125.00109532764918,-22.508392609940696,-0.15137494590093825,-1.1020812370066506,0.10394363565466083,0.052370679785631064
2024,01,08,15,13,18,874,1704697998.874194,124.49328632667766,-22.56420652206183,-0.14227783658188328,-1.1945884529832287,0.11017233786022412,0.057348301012019716
2024,01,08,15,13,18,973,1704697998.97329,124.02221406260419,-22.620005172383884,-0.13343614719395705,-1.28634765725469,0.1160168297879144,0.06234100837078124
2024,01,08,15,13,19,067,1704697999.06755,123.58857634137858,-22.649273881807336,-0.12660608268865292,-1.3757298018861979,0.12349380001413744,0.06706507137816652
2024,01,08,15,13,19,171,1704697999.171185,123.58857634137858,-22.649273881807336,-0.12660608268865292,-1.3757298018861979,0.12349380001413744,0.06706507137816652
2024,01,08,15,13,19,260,1704697999.260662,123.58857634137858,-22.649273881807336,-0.12660608268865292,-1.3757298018861979,0.12349380001413744,0.06706507137816652
2024,01,08,15,13,19,367,1704697999.367975,122.85801392868441,-22.621009471197542,-0.09963552978710244,-1.5560521961056453,0.1459435481483815,0.07885520643443396
