Year,Month,Day,Hour,Minute,Second,Millisecond,TimestampSecond,usvEKFx[0][0],usvEKFx[1][0],usvEKFx[2][0],usvEKFx[3][0],usvEKFx[4][0],usvEKFx[5][0]
2024,01,08,15,23,21,339,1704698601.339887,157.6438493479501,26.970594816728784,0.7781346675703649,0.0,0.0,0.0
2024,01,08,15,23,21,425,1704698601.425968,157.5668775423083,27.174124886601657,0.05235837401857513,0.0,0.0,0.0
2024,01,08,15,23,21,530,1704698601.530558,157.00718630128145,27.324086078017547,-0.3038521419777192,-0.0003688716729367296,4.300779252382371e-05,-0.00017089786293517177
2024,01,08,15,23,21,624,1704698601.624078,156.70043789405025,27.527716351301294,-0.5247679785305013,-0.0010486325230953926,0.00026096580394553644,-0.0005087912847742666
2024,01,08,15,23,21,738,1704698601.738964,156.50320888211934,27.712703130197756,-0.6757949731932473,-0.0017551273822378852,0.0005835392515165681,-0.0008787531212744642
2024,01,08,15,23,21,828,1704698601.828638,156.35716186881126,27.912228861773063,-0.7851131607082178,-0.002704545378495716,0.0012171186629523387,-0.0013648958070143786
2024,01,08,15,23,21,932,1704698601.932545,156.24463123044998,28.096918088269668,-0.8679053570035407,-0.0036067853495695378,0.0019560136104345796,-0.0018271191778729918
2024,01,08,15,23,22,028,1704698602.0281,156.15222117856302,28.27764578043393,-0.9326488763248738,-0.004586717029566095,0.0029260642473148937,-0.002314772986200837
2024,01,08,15,23,22,133,1704698602.133202,156.07243257782594,28.460992883665206,-0.9833223425141603,-0.005594895989757416,0.00413736665503201,-0.0027838441748629142
2024,01,08,15,23,22,226,1704698602.227019,156.00352161742074,28.633678489854354,-1.025988591461699,-0.006682227487490327,0.005574742838037075,-0.003287324599360173
2024,01,08,15,23,22,330,1704698602.330365,155.92447688642588,28.79726644987535,-1.0596385015241712,-0.008257325567228219,0.007104345860564314,-0.0037295914067967794
2024,01,08,15,23,22,424,1704698602.424992,155.85747445958376,28.937999747300683,-1.089211112486946,-0.009873592612505182,0.008671637522556893,-0.004200176170893464
2024,01,08,15,23,22,532,1704698602.532656,155.7994783892493,29.062757058399157,-1.1155310677598884,-0.011471221562803101,0.010251108980656282,-0.004681454709975133
2024,01,08,15,23,22,627,1704698602.627271,155.75442173578645,29.183501877647178,-1.1378776339215708,-0.01284376341615649,0.012111576818087158,-0.005182895389742116
2024,01,08,15,23,22,737,1704698602.737827,155.71266376482205,29.302251487097248,-1.157390419074441,-0.014235410515491563,0.014159026817951339,-0.005672946571641857
2024,01,08,15,23,22,826,1704698602.82619,155.68210696976558,29.407468525605903,-1.174964653743571,-0.015295134175444683,0.016303806889799474,-0.0062061911121606295
2024,01,08,15,23,22,928,1704698602.928765,155.65406624703706,29.505919241381193,-1.1898939743874206,-0.016346118955451374,0.018487760781044492,-0.0066996129789852685
2024,01,08,15,23,23,026,1704698603.02614,155.63155840808656,29.57970870353224,-1.2033897357180154,-0.017336556324720642,0.020307898762174578,-0.007202589157381782
2024,01,08,15,23,23,129,1704698603.129962,155.61044538480942,29.65065762193968,-1.2155207492793527,-0.018344375454940522,0.022228538329886485,-0.007700077389608865
2024,01,08,15,23,23,226,1704698603.227012,155.6178135621294,29.709389898973004,-1.227776088859116,-0.016972878476074087,0.024263201172028757,-0.008368942770574277
2024,01,08,15,23,23,329,1704698603.329557,155.62632265167792,29.752331413508266,-1.2389909237141696,-0.015537679219225078,0.025929608569797716,-0.009040527621805274
2024,01,08,15,23,23,424,1704698603.424177,155.64826110923983,29.78969236974417,-1.2499002840727784,-0.012520166325447855,0.027716113861163617,-0.009825276467929817
2024,01,08,15,23,23,532,1704698603.532116,155.66988592344984,29.815099922958726,-1.2599528297695068,-0.009466879099074246,0.029127420382558576,-0.010606240774197688
2024,01,08,15,23,23,626,1704698603.626294,155.68772440342238,29.82633631159226,-1.2685877235807022,-0.006842120060299585,0.02995220736018854,-0.011328868691943324
2024,01,08,15,23,23,727,1704698603.727119,155.70611919386965,29.825762717855586,-1.2771093672368774,-0.0041366136701884324,0.03025735580496905,-0.012088762011237843
2024,01,08,15,23,23,825,1704698603.825409,155.75541829594323,29.820507941780132,-1.2869655057776472,0.0035660041063015147,0.030931141171866086,-0.013238181574321108
2024,01,08,15,23,23,928,1704698603.928372,155.80238044991228,29.808649844343783,-1.2961461005032773,0.011317004954392852,0.031228899796037768,-0.01438811873151749
2024,01,08,15,23,24,026,1704698604.026488,155.84702838581464,29.79214108571295,-1.3047133187641187,0.01912688054851076,0.03121469216718197,-0.015541121365392286
2024,01,08,15,23,24,127,1704698604.127273,155.88801460015915,29.78018130080265,-1.3122512248471043,0.026912588233609307,0.031421076573072755,-0.01665204535899709
2024,01,08,15,23,24,229,1704698604.229747,155.8768054286222,29.759007590625977,-1.317774790624368,0.02406905374904464,0.029632675960407803,-0.017097219439147843
2024,01,08,15,23,24,328,1704698604.328301,155.86576287304436,29.742158328228292,-1.3229393777291314,0.021172109990378853,0.028052305351731102,-0.017541874221255593
2024,01,08,15,23,24,425,1704698604.425268,155.84780546764512,29.73270185562734,-1.327452202978363,0.016655365986045778,0.026764234438154247,-0.01787080605900949
2024,01,08,15,23,24,527,1704698604.527854,155.8300773094131,29.72838853943696,-1.331673925769087,0.012089895425112048,0.02584535503460275,-0.018194147658614844
2024,01,08,15,23,24,629,1704698604.629836,155.80810172246035,29.73639793029399,-1.3354305445415138,0.006486073829177143,0.025834335703445368,-0.01844825044826044
2024,01,08,15,23,24,730,1704698604.730388,155.78575308584524,29.752592106722155,-1.3389213246594196,0.000715228561275566,0.026589159791560346,-0.018693618245216183
