Year,Month,Day,Hour,Minute,Second,Millisecond,rosTime,podYaw,podYawDelayed,podPitch,podPitchDelayed,podHfov,podHfovDelayed,podVfov,podVfovDelayed,pixelX,pixelY,cameraYaw,cameraPitch,uavQuat[0],uavQuat[1],uavQuat[2],uavQuat[3],uavQuatDelayed[0],uavQuatDelayed[1],uavQuatDelayed[2],uavQuatDelayed[3],uavEuler[0],uavEuler[1],uavEuler[2],selfPos[0],selfPos[1],selfPos[2],targetPosAbsGB[0],targetPosAbsGB[1],targetPosAbsGB[2],targetPosRel[0],targetPosRel[1],targetPosRel[2],targetPosAbs[0],targetPosAbs[1],targetPosAbs[2],targetId
2023,09,21,11,36,55,967,29.566468954086304,-32.68000030517578,-33.029998779296875,1.899999976158142,1.940000057220459,4.598148345947266,4.598148345947266,2.587407715112723,2.587407715112723,-0.8992187529802322,-0.46666663885116577,2.067582961154329,-0.6038086974356152,-0.00033919913595545787,-0.01759456976475397,0.9918228517349331,0.12640311244239294,0.0006318056718036969,-0.015510887275492567,0.9916461592110781,0.12805041241416262,165.28673141698545,-0.15580435827163713,1.7721283798659444,0.0,0.0,13.36778000000001,491.7633419103928,-295.0371363875092,0.0,-1785.6575579509824,1786.5210299693917,-13.36778000000001,-1785.6575579509824,1786.5210299693917,0.0,0
2023,09,21,11,36,56,005,29.603954076766968,-32.68000030517578,-32.97876562431581,1.899999976158142,1.8784036181082961,4.598148345947266,4.598148345947266,2.587407715112723,2.587407715112723,-0.8734374940395355,-0.4555555582046509,2.008353106154336,-0.5894333651208307,7.730126678174032e-05,-0.01743630691271483,0.9918728728075439,0.12603243001017542,6.573470336649479e-05,-0.015287516001358,0.9916492271468437,0.12805505781703663,165.28712895499115,-0.216860227826758,1.738435004022576,0.0,0.0,13.36778000000001,509.7236849909784,-305.90988690267756,0.0,-1676.5604157434475,1677.877315529794,-13.36778000000001,-1676.5604157434475,1677.877315529794,0.0,0
2023,09,21,11,36,57,797,31.395691394805908,-30.459999084472656,-30.96723373820282,1.659999966621399,1.6855431993428134,4.598148345947266,4.598148345947266,2.587407715112723,2.587407715112723,-0.59765625,-0.4555555582046509,1.3745302408130684,-0.5894333651208307,-0.0027546493864158183,-0.013934021345697186,0.9926009675817422,0.12058844932946419,-0.0004971094202514064,-0.010640572615344119,0.9924135865706056,0.12248185288731146,165.9306411507871,-0.20587737889069535,1.2031886138369388,0.0,0.0,13.362639999999999,607.4801551972953,-344.99193257317194,0.0,-1051.851614492266,980.7175769666787,-13.362639999999999,-1051.851614492266,980.7175769666787,0.0,0
2023,09,21,11,36,58,203,31.801127433776855,-29.780000686645508,-30.459999084472656,1.309999942779541,1.659999966621399,4.598148345947266,4.598148345947266,2.587407715112723,2.587407715112723,-0.3296874761581421,-0.4694444537162781,0.758338752124531,-0.6074025765430994,-0.003846584356372089,-0.009254692703327275,0.9926472212482881,0.12062772732588663,-0.002872064402004329,-0.013945174965317195,0.9925969964929019,0.12061710448575547,166.15016262365674,-0.5194310714092872,1.5467239366937084,0.0,0.0,13.360820000000004,631.7007834275869,-360.33877971785734,0.0,-1150.9101136665015,1069.3448121552306,-13.360820000000004,-1150.9101136665015,1069.3448121552306,0.0,0
2023,09,21,11,36,58,603,32.202457904815674,-28.969999313354492,-29.659585494852262,1.590000033378601,1.373275959977076,4.598148345947266,4.598148345947266,2.587407715112723,2.587407715112723,-0.05234372615814209,-0.5583333373069763,0.12040656208106068,-0.7224024878178461,-0.008519411606556738,-0.013368745735998807,0.9926188171458188,0.12023551934166479,-0.0038335812543662043,-0.00925738284337417,0.9926421059919229,0.12067002084021212,166.1426780220354,-0.5640817931155274,1.000101932048859,0.0,0.0,13.356200000000001,1022.8686489600786,-579.6349658220431,0.0,-1140.3453721910244,1053.4325018875402,-13.356200000000001,-1140.3453721910244,1053.4325018875402,0.0,0
2023,09,21,11,36,59,406,33.00538945198059,-27.469999313354492,-28.280000686645508,2.1600000858306885,1.75,4.598148345947266,4.598148345947266,2.587407715112723,2.587407715112723,-0.7835937440395355,-0.9027777761220932,1.8019133644300673,-1.167963807274776,0.004144513137685264,-0.011451014677957899,0.9926114667751863,0.12072354078683248,-0.0018188181188715105,-0.010847436922908148,0.9926389592090298,0.12061062006833459,166.14823301451028,-0.3568112940018633,1.2088500645192395,0.0,0.0,13.327660000000009,1174.895501400058,-585.2275582516305,0.0,-3252.396949207677,2696.3968131889997,-13.327660000000009,-3252.396949207677,2696.3968131889997,0.0,0
2023,09,21,11,36,59,804,33.40274095535278,-27.450000762939453,-27.45101269326751,1.5499999523162842,2.202522606348498,4.598148345947266,4.598148345947266,2.587407715112723,2.587407715112723,-0.5062499940395355,-0.9166666641831398,1.1643710518036503,-1.1859273873865814,-0.00900110291998159,-0.02014540059416602,0.9930977340636686,0.11519563176931377,0.00388320802211167,-0.011430938550749422,0.9925868323981627,0.12093648948554654,166.10332868880516,0.2832718970658457,1.3541359160851467,0.0,0.0,13.332720000000009,673.7998771529477,-332.818163881044,0.0,-18710.503084433287,15426.475729220943,-13.332720000000009,-18710.503084433287,15426.475729220943,0.0,0
2023,09,21,11,37,00,209,33.807655811309814,-26.649999618530273,-27.450000762939453,1.659999966621399,1.5499999523162842,4.598148345947266,4.598148345947266,2.587407715112723,2.587407715112723,-0.2320312261581421,-0.625,0.5337280568241047,-0.8086486522192282,-0.00573234838822401,-0.016779975782724166,0.9928266963264181,0.11824011018371741,-0.009093603606348465,-0.02015115690730208,0.9930886359464581,0.11526577290224087,166.7835304109167,-1.3011263001177198,2.1741625469628754,0.0,0.0,13.356819999999999,920.4314245582951,-467.2904292797126,0.0,-1282.1787311368978,1057.064125894803,-13.356560000000002,-1282.1787311368978,1057.064125894803,0.0,0
2023,09,21,11,37,00,246,33.84500455856323,-26.549999237060547,-27.427779512923973,1.590000033378601,1.4291744674483469,4.598148345947266,4.598148345947266,2.587407715112723,2.587407715112723,-0.20234376192092896,-0.5944444537162781,0.46544291845348024,-0.7691196011731997,-0.006240406869895543,-0.015587744538903717,0.9927562872429254,0.11896652336657641,-0.011046330135641096,-0.021454341810464978,0.9930633187871037,0.11507795048382313,166.81077197580524,-1.5401386805780342,2.297210289609626,0.0,0.0,13.356819999999999,1033.3964600090933,-525.6866712142698,0.0,-1218.1422649303977,1005.225357578648,-13.356819999999999,-1218.1422649303977,1005.225357578648,0.0,0
2023,09,21,11,37,00,309,33.908555030822754,-26.459999084472656,-27.366867185139345,1.4600000381469727,1.3123036045957008,4.598148345947266,4.598148345947266,2.587407715112723,2.587407715112723,-0.15312498807907104,-0.5833333432674408,0.35223033613003757,-0.7547452137659978,-0.006884855883250215,-0.014944432063599493,0.9926946214070205,0.11952678084569852,-0.012373241942788943,-0.022661063156686163,0.993027119777461,0.11502399091891113,166.82157387127256,-1.706925386417521,2.4173601127536615,0.0,0.0,13.356100000000012,1222.7304239409164,-623.4061473186626,0.0,-1364.5088605773994,1127.8179316159592,-13.356100000000012,-1364.5088605773994,1127.8179316159592,0.0,0
